,Wavelength,Transmission
0,300.0,0.0
1,310.0,0.0
2,320.0,0.0004417985905972496
3,330.0,0.003158786125027898
4,340.0,0.011598410918785683
5,350.0,0.03170173766233759
6,360.0,0.0683512758969867
7,370.0,0.12419532782875471
8,380.0,0.19246513663203535
9,390.0,0.26606835263808204
10,400.0,0.33370124357927927
11,410.0,0.3918561736635421
12,420.0,0.44000073213202684
13,430.0,0.48045777864445127
14,440.0,0.5139049418036447
15,450.0,0.543314933279349
16,460.0,0.5666741418151353
17,470.0,0.5860261160154225
18,480.0,0.5982036535135934
19,490.0,0.6117157970260083
20,500.0,0.6174983469988979
21,510.0,0.617639531932206
22,520.0,0.6171228048640031
23,530.0,0.608011252868785
24,540.0,0.6010468026284452
25,550.0,0.5898236463795964
26,560.0,0.5749636511352844
27,570.0,0.5520735842441835
28,580.0,0.5386755253621024
29,590.0,0.508502072294896
30,600.0,0.506969822322082
31,610.0,0.4942805195576177
32,620.0,0.4766934658710303
33,630.0,0.44574304979775686
34,640.0,0.44342233500131895
35,650.0,0.42168362018472033
36,660.0,0.4024187146501279
37,670.0,0.3893406028689986
38,680.0,0.3704049452891087
39,690.0,0.31258625570177284
40,700.0,0.31936561921753337
41,710.0,0.30914832573181567
42,720.0,0.23739606251601794
43,730.0,0.2502360848476534
44,740.0,0.2555889885570203
45,750.0,0.24166748152041553
46,760.0,0.0757803569214346
47,770.0,0.2064069193844423
48,780.0,0.19374132625512547
49,790.0,0.1726651402174999
50,800.0,0.16162450239030446
51,810.0,0.14810978371700306
52,820.0,0.11796553727999533
53,830.0,0.11456100145249636
54,840.0,0.11398172767881372
55,850.0,0.10450791765195286
56,860.0,0.09491216509737438
57,870.0,0.08564641395364264
58,880.0,0.07693746167955162
59,890.0,0.06833031732167424
60,900.0,0.0522656377962799
61,910.0,0.04126315540786216
62,920.0,0.04217613995940978
63,930.0,0.024493188854860015
64,940.0,0.02378415866009031
65,950.0,0.008104583534849247
66,960.0,0.01701784496897213
67,970.0,0.021038811354869538
68,980.0,0.017723515846915828
69,990.0,0.01827928897096646
70,1000.0,0.01595347221022673
71,1010.0,0.013576743291174621
72,1020.0,0.011669641374040416
73,1030.0,0.009900957267228679
74,1040.0,0.008346091178527656
75,1050.0,0.006983127561313613
76,1060.0,0.0058028700276583035
77,1070.0,0.004799643644856634
78,1080.0,0.003924118070020049
79,1090.0,0.003129009500066647
80,1100.0,0.002322343267862
